Timestamp;PV usage [0:1];buy_el[ecent/kWh];sell_el[ecent/kWh];Lastgang_[W]
02.01.2013 09:00;0.117404737;28;10;9900
02.01.2013 09:15;0.147682801;28;10;7400
02.01.2013 09:30;0.138414006;28;10;4200
02.01.2013 09:45;0.097631308;28;10;4100
02.01.2013 10:00;0.105046344;28;10;4400
02.01.2013 10:15;0.133058702;28;10;10000
02.01.2013 10:30;0.132440783;28;10;7900
02.01.2013 10:45;0.138619979;28;10;4100
02.01.2013 11:00;0.121936148;28;10;4400
02.01.2013 11:15;0.131410917;28;10;4100
02.01.2013 11:30;0.093511843;28;10;7700
02.01.2013 11:45;0.083213182;28;10;8000
02.01.2013 12:00;0.099485067;28;10;5900
02.01.2013 12:15;0.123995881;28;10;5800
02.01.2013 12:30;0.105046344;28;10;6200
02.01.2013 12:45;0.029042225;28;10;9300
02.01.2013 13:00;0.079917611;28;10;10100
02.01.2013 13:15;0.108341916;28;10;4200
02.01.2013 13:30;0.37445932;28;10;4400
02.01.2013 13:45;0.329969104;28;10;4300
02.01.2013 14:00;0.087950566;28;10;5200
02.01.2013 14:15;0.065705458;28;10;8600
02.01.2013 14:30;0.040988671;28;10;6300
02.01.2013 14:45;0.036457261;28;10;4400
02.01.2013 15:00;0.014006179;28;10;4300
02.01.2013 15:15;0.012358393;28;10;4300
02.01.2013 15:30;0;28;10;6600
02.01.2013 15:45;0;28;10;8700
02.01.2013 16:00;0;28;10;5400
02.01.2013 16:15;0;28;10;4200
02.01.2013 16:30;0;28;10;4600
02.01.2013 16:45;0;28;10;5000
02.01.2013 17:00;0;28;10;8800
02.01.2013 17:15;0;28;10;9400
02.01.2013 17:30;0;28;10;6200
02.01.2013 17:45;0;28;10;6100
02.01.2013 18:00;0;28;10;6000
02.01.2013 18:15;0;28;10;7800
02.01.2013 18:30;0;28;10;10400
02.01.2013 18:45;0;28;10;7800
02.01.2013 19:00;0;28;10;6100
02.01.2013 19:15;0;28;10;6100
02.01.2013 19:30;0;28;10;6300
02.01.2013 19:45;0;28;10;10100
02.01.2013 20:00;0;28;10;10200
02.01.2013 20:15;0;28;10;6000
02.01.2013 20:30;0;28;10;6200
02.01.2013 20:45;0;28;10;6200
02.01.2013 21:00;0;28;10;8200
02.01.2013 21:15;0;28;10;10600
02.01.2013 21:30;0;28;10;7400
02.01.2013 21:45;0;28;10;6000
02.01.2013 22:00;0;28;10;5500
02.01.2013 22:15;0;28;10;7000
02.01.2013 22:30;0;28;10;9700
02.01.2013 22:45;0;28;10;7400
02.01.2013 23:00;0;28;10;5300
02.01.2013 23:15;0;28;10;5400
02.01.2013 23:30;0;28;10;6700
