Timestamp;PV usage [0:1];buy_el[ecent/kWh];sell_el[ecent/kWh];Lastgang_[W];Leistungspreis [€/kW];Gebäude
01.01.2013 00:15;0;28;10;64;5.5;DE0003277613700000000000000253294
01.01.2013 00:30;0;28;10;66;;
01.01.2013 00:45;0;28;10;66;;
01.01.2013 01:00;0;28;10;64;;
01.01.2013 01:15;0;28;10;62;;
01.01.2013 01:30;0;28;10;64;;
01.01.2013 01:45;0;28;10;62;;
01.01.2013 02:00;0;28;10;64;;
01.01.2013 02:15;0;28;10;62;;
01.01.2013 02:30;0;28;10;64;;
01.01.2013 02:45;0;28;10;62;;
01.01.2013 03:00;0;28;10;64;;
01.01.2013 03:15;0;28;10;62;;
01.01.2013 03:30;0;28;10;66;;
01.01.2013 03:45;0;28;10;56;;
01.01.2013 04:00;0;28;10;48;;
01.01.2013 04:15;0;28;10;56;;
01.01.2013 04:30;0;28;10;62;;
01.01.2013 04:45;0;28;10;62;;
01.01.2013 05:00;0;28;10;64;;
01.01.2013 05:15;0;28;10;62;;
01.01.2013 05:30;0;28;10;66;;
01.01.2013 05:45;0;28;10;60;;
01.01.2013 06:00;0;28;10;62;;
01.01.2013 06:15;0;28;10;64;;
01.01.2013 06:30;0;28;10;68;;
01.01.2013 06:45;0;28;10;70;;
01.01.2013 07:00;0;28;10;72;;
01.01.2013 07:15;0;28;10;68;;
01.01.2013 07:30;0;28;10;72;;
01.01.2013 07:45;0;28;10;80;;
01.01.2013 08:00;0;28;10;90;;
01.01.2013 08:15;0;28;10;82;;
01.01.2013 08:30;0.013800206;28;10;86;;
01.01.2013 08:45;0.016065911;28;10;82;;
01.01.2013 09:00;0.010092688;28;10;104;;
01.01.2013 09:15;0.017301751;28;10;132;;
01.01.2013 09:30;0.03831102;28;10;132;;
01.01.2013 09:45;0.029454171;28;10;114;;
01.01.2013 10:00;0.024510814;28;10;102;;
01.01.2013 10:15;0.12523172;28;10;96;;
01.01.2013 10:30;0.082595263;28;10;102;;
01.01.2013 10:45;0.102574665;28;10;102;;
01.01.2013 11:00;0.090628218;28;10;94;;
